time,prec
2013-10-18 10:30:00,0.0
2013-10-19 10:30:00,0.0108
2013-10-20 10:30:00,0.0
2013-10-21 10:30:00,0.14039999
2013-10-22 10:30:00,8.5428
2013-10-23 10:30:00,27.7776
2013-10-24 10:30:00,9.5796
2013-10-25 10:30:00,0.0
2013-10-26 10:30:00,0.0
2013-10-27 10:30:00,0.0108
2013-10-28 10:30:00,0.0
2013-10-29 10:30:00,0.0
2013-10-30 10:30:00,0.0
2013-10-31 10:30:00,0.0
2013-11-01 10:30:00,0.0
2013-11-02 10:30:00,0.0324
2013-11-03 10:30:00,0.0
2013-11-04 10:30:00,0.0
2013-11-05 10:30:00,0.72360003
2013-11-06 10:30:00,0.79920006
2013-11-07 10:30:00,0.0324
2013-11-08 10:30:00,0.648
2013-11-09 10:30:00,0.0
2013-11-10 10:30:00,0.0216
2013-11-11 10:30:00,0.0
2013-11-12 10:30:00,0.0
2013-11-13 10:30:00,0.36720002
2013-11-14 10:30:00,0.0
2013-11-15 10:30:00,0.0
2013-11-16 10:30:00,1.134
2013-11-17 10:30:00,0.77760005
2013-11-18 10:30:00,0.0324
2013-11-19 10:30:00,0.0216
2013-11-20 10:30:00,0.0
2013-11-21 10:30:00,0.0
2013-11-22 10:30:00,0.0
2013-11-23 10:30:00,0.0
2013-11-24 10:30:00,0.0
2013-11-25 10:30:00,0.0
2013-11-26 10:30:00,0.0108
2013-11-27 10:30:00,0.0864
2013-11-28 10:30:00,0.0
2013-11-29 10:30:00,0.0
2013-11-30 10:30:00,0.0
2013-12-01 10:30:00,0.0
2013-12-02 10:30:00,0.0
2013-12-03 10:30:00,0.0
2013-12-04 10:30:00,0.0
2013-12-05 10:30:00,0.0
2013-12-06 10:30:00,0.0216
2013-12-07 10:30:00,0.0324
2013-12-08 10:30:00,0.4644
2013-12-09 10:30:00,0.0
2013-12-10 10:30:00,0.0216
2013-12-11 10:30:00,0.0108
2013-12-12 10:30:00,0.0
2013-12-13 10:30:00,0.0216
2013-12-14 10:30:00,0.053999998
2013-12-15 10:30:00,0.5076
2013-12-16 10:30:00,0.0
2013-12-17 10:30:00,0.3456
2013-12-18 10:30:00,0.0108
2013-12-19 10:30:00,0.21600002
2013-12-20 10:30:00,0.0
2013-12-21 10:30:00,0.0
2013-12-22 10:30:00,0.0
2013-12-23 10:30:00,0.0
2013-12-24 10:30:00,0.0
2013-12-25 10:30:00,0.5724
2013-12-26 10:30:00,0.0
2013-12-27 10:30:00,0.0
2013-12-28 10:30:00,0.0
2013-12-29 10:30:00,0.0
2013-12-30 10:30:00,0.5076
2013-12-31 10:30:00,0.14039999
2014-01-01 10:30:00,0.0
2014-01-02 10:30:00,0.4644
2014-01-03 10:30:00,0.0
2014-01-04 10:30:00,0.0
2014-01-05 10:30:00,0.0
2014-01-06 10:30:00,0.0
2014-01-07 10:30:00,0.0
2014-01-08 10:30:00,0.0
2014-01-09 10:30:00,0.0
2014-01-10 10:30:00,0.0
2014-01-11 10:30:00,0.162
2014-01-12 10:30:00,0.0
2014-01-13 10:30:00,0.0
2014-01-14 10:30:00,0.0
2014-01-15 10:30:00,0.0
2014-01-16 10:30:00,0.0
2014-01-17 10:30:00,0.064799994
2014-01-18 10:30:00,0.0
2014-01-19 10:30:00,0.5724
2014-01-20 10:30:00,0.0216
2014-01-21 10:30:00,0.0108
2014-01-22 10:30:00,0.0
2014-01-23 10:30:00,0.1512
2014-01-24 10:30:00,0.0648
2014-01-25 10:30:00,0.0
2014-01-26 10:30:00,0.0
2014-01-27 10:30:00,0.0
2014-01-28 10:30:00,0.0324
2014-01-29 10:30:00,0.2916
2014-01-30 10:30:00,0.0
2014-01-31 10:30:00,0.0
2014-02-01 10:30:00,0.053999998
2014-02-02 10:30:00,0.0
2014-02-03 10:30:00,0.0
2014-02-04 10:30:00,0.0
2014-02-05 10:30:00,0.0
2014-02-06 10:30:00,0.0
2014-02-07 10:30:00,0.0
2014-02-08 10:30:00,0.1188
2014-02-09 10:30:00,0.0108
2014-02-10 10:30:00,0.0
2014-02-11 10:30:00,0.0
2014-02-12 10:30:00,0.0
2014-02-13 10:30:00,0.4536
2014-02-14 10:30:00,2.6892002
2014-02-15 10:30:00,0.0864
2014-02-16 10:30:00,0.0216
2014-02-17 10:30:00,0.0
2014-02-18 10:30:00,0.0
2014-02-19 10:30:00,0.0
2014-02-20 10:30:00,0.0
2014-02-21 10:30:00,0.0
2014-02-22 10:30:00,0.0
2014-02-23 10:30:00,0.0
2014-02-24 10:30:00,0.0
2014-02-25 10:30:00,0.0
2014-02-26 10:30:00,0.1512
2014-02-27 10:30:00,0.0
2014-02-28 10:30:00,0.0108
